,presentation,bnf_code,dose_per_unit_x,new_ome_multiplier,ome_dose,name,unit_dose,dose_per_unit_y,total_ome,ome_diff,ome_diff_multi
869,,0410030B0BBABAB,,,,Buprenorphine 2mg / Naloxone 500microgram sublingual tablets sugar free,1,2.0,120.0,,
870,,1501043A0BBABAC,,,,Alfentanil 5mg/10ml solution for injection ampoules,10,0.5,15.0,,
871,,0410030C0AAAFAF,,,,Methadone 1mg/ml oral solution sugar free,1,1.0,3.0,,
872,,0410030A0AAAIAI,,,,Buprenorphine 1mg sublingual tablets sugar free,1,1.0,60.0,,
873,,0309020T0AAAHAH,,,,Ipecacuanha and Morphine mixture BP 1980,1,0.092,0.09,,
874,,0410030B0AAABAB,,,,Buprenorphine 2mg / Naloxone 500microgram sublingual tablets sugar free,1,2.0,120.0,,
875,,0410030A0BEABAE,,,,Buprenorphine 8mg sublingual tablets sugar free,1,8.0,480.0,,
876,,0104020N0AAAFAF,,,,Generic J Collis Browne's tablets,1,0.35,0.35,,
877,,0104020N0AAACAC,,,,Generic Diocalm Dual Action chewable tablets,1,0.395,0.4,,
878,,0410030C0AAAJAJ,,,,Methadone 1mg/ml oral suspension sugar free,1,1.0,3.0,,
879,,1501043A0AAACAC,,,,Alfentanil 5mg/10ml solution for injection ampoules,10,0.5,15.0,,
880,,0407020ADAAAVAV,,,,Oxycodone 20mg tablets,1,20.0,30.0,,
881,,1001010J0AAAYAY,,,,Ibuprofen 200mg / Codeine 12.8mg tablets,1,12.8,1.28,,
882,,0410030B0BBACAC,,,,Buprenorphine 16mg / Naloxone 4mg sublingual tablets sugar free,1,16.0,960.0,,
883,,0410030C0AAAAAA,,,,Methadone 1mg/ml oral solution,1,1.0,3.0,,
884,,1001010J0BMAEAY,,,,Ibuprofen 200mg / Codeine 12.8mg tablets,1,12.8,1.28,,
885,,0410030A0AAAJAJ,,,,Buprenorphine 6mg sublingual tablets sugar free,1,6.0,360.0,,
886,,0407010F0BHABAQ,,,,Co-codamol 30mg/500mg effervescent powder sachets sugar free,1,30.0,3.0,,
887,,0309010C0AAADAD,,,,Codeine 15mg/5ml linctus sugar free,5,3.0,0.3,,
888,,0407020A0BNAABH,,,,Fentanyl 50micrograms/dose nasal spray,1,0.05,8.0,,
889,,0407010W0AAADAD,,,,Aspirin 500mg / Codeine 8mg dispersible tablets sugar free,1,8.0,0.8,,
890,,0407020ADBUACAT,,,,Oxycodone 5mg tablets,1,5.0,7.5,,
891,,1001010J0B8AAAR,,,,Ibuprofen 300mg modified-release / Codeine 20mg tablets,1,20.0,2.0,,
892,,040702050AAAPAP,,,,Hydromorphone 50mg/1ml solution for injection ampoules,1,50.0,250.0,,
893,,0407020ADBUAAAU,,,,Oxycodone 10mg tablets,1,10.0,15.0,,
894,,0309010N0AAAKAK,,,,Diamorphine 2mg/5ml oral solution,1,0.4,0.4,,
895,,0410030A0AAAEAE,,,,Buprenorphine 8mg sublingual tablets sugar free,1,8.0,480.0,,
896,,0410030A0AAADAD,,,,Buprenorphine 2mg sublingual tablets sugar free,1,2.0,120.0,,
897,,0407010X0AAAJAJ,,,,Generic Solpadeine Plus tablets,1,8.0,0.8,,
898,,0104020N0AAABAB,,,,Kaolin and Morphine mixture,1,0.092,0.09,,
899,,1501043A0AAADAD,,,,Alfentanil 5mg/1ml solution for injection ampoules,1,5.0,150.0,,
900,,0410030B0AAACAC,,,,Buprenorphine 16mg / Naloxone 4mg sublingual tablets sugar free,1,16.0,960.0,,
901,,0407020Q0AAGBGB,,,,Morphine sulfate 10mg/5ml oral solution unit dose vials sugar free,5,2.0,2.0,,
902,,1501043A0AAAEAE,,,,Alfentanil 0.1% nasal spray,1,1.0,30.0,,
903,,0407010X0BEACAJ,,,,Generic Solpadeine Plus tablets,1,8.0,0.8,,
904,,0407020Q0AAGCGC,,,,Morphine sulfate 30mg suppositories,1,30.0,30.0,,
905,,0410030A0BEAEAK,,,,Buprenorphine 4mg sublingual tablets sugar free,1,4.0,240.0,,
906,,0410030A0BFAAAL,,,,Buprenorphine 2mg oral lyophilisates sugar free,1,2.0,120.0,,
907,,0410030A0BFABAM,,,,Buprenorphine 8mg oral lyophilisates sugar free,1,8.0,480.0,,
908,,0410030A0AAAKAK,,,,Buprenorphine 4mg sublingual tablets sugar free,1,4.0,240.0,,
909,,0410030A0BBACAE,,,,Buprenorphine 8mg sublingual tablets sugar free,1,8.0,480.0,,
910,,0407020A0BNACBJ,,,,Fentanyl 100micrograms/dose nasal spray,1,0.1,16.0,,
911,,0309010N0AAAIAI,,,,Diamorphine 1.25mg/5ml oral solution,1,0.25,0.25,,
912,,0407020ABAAAPAP,,,,Papaveretum 30mg/1ml solution for injection ampoules,1,30.0,231.0,,
913,,0410030C0AABMBM,,,,Methadone 5mg/ml oral solution,1,5.0,15.0,,
914,,0410030A0BEAAAD,,,,Buprenorphine 2mg sublingual tablets sugar free,1,2.0,120.0,,
915,,0407020ADAAATAT,,,,Oxycodone 5mg tablets,1,5.0,7.5,,
916,,0407010N0BHACAK,,,,Co-dydramol 7.46mg/500mg effervescent tablets sugar free,1,7.46,0.75,,
917,,1501043A0BBADAD,,,,Alfentanil 5mg/1ml solution for injection ampoules,1,5.0,150.0,,
918,,040702040BGABAI,,,,Tramadol 150mg modified-release capsules,1,150.0,15.0,,
919,,040702050BBAKAP,,,,Hydromorphone 50mg/1ml solution for injection ampoules,1,50.0,250.0,,
920,,0410030C0AABABA,,,,Methadone 10mg/ml oral solution sugar free,1,10.0,30.0,,
921,,0410030B0AAAAAA,,,,Buprenorphine 8mg / Naloxone 2mg sublingual tablets sugar free,1,8.0,480.0,,
922,,0309010C0AAAEAE,,,,Codeine 3mg/5ml linctus paediatric sugar free,5,0.6,0.06,,
923,,040702040BGACAJ,,,,Tramadol 200mg modified-release capsules,1,200.0,20.0,,
924,,0407020Y0BBAAAA,,,,Nalbuphine 10mg/1ml solution for injection ampoules,1,10.0,10.0,,
